"Statistic Label","Year","Nationality of Ownership","UNIT","VALUE"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2020","All nationalities of ownership","Euro Thousand","135763"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2020","Irish ownership","Euro Thousand","20101"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2020","Non Irish ownership","Euro Thousand","115662"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2021","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2021","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2021","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2022","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2022","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2022","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2023","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2023","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2023","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2024","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2024","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2024","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2007","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2007","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2007","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2008","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2008","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2008","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2009","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2009","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2009","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2010","All nationalities of ownership","Euro Thousand","30143"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2010","Irish ownership","Euro Thousand","26188"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2010","Non Irish ownership","Euro Thousand","3955"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2011","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2011","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2011","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2012","All nationalities of ownership","Euro Thousand","14566"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2012","Irish ownership","Euro Thousand","3970"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2012","Non Irish ownership","Euro Thousand","10596"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2013","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2013","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2013","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2014","All nationalities of ownership","Euro Thousand","12977"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2014","Irish ownership","Euro Thousand","6895"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2014","Non Irish ownership","Euro Thousand","6082"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2015","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2015","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2015","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2016","All nationalities of ownership","Euro Thousand","10846"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2016","Irish ownership","Euro Thousand","8816"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2016","Non Irish ownership","Euro Thousand","2030"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2017","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2017","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2017","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2018","All nationalities of ownership","Euro Thousand","14976"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2018","Irish ownership","Euro Thousand","10795"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2018","Non Irish ownership","Euro Thousand","4181"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2019","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2019","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2019","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2020","All nationalities of ownership","Euro Thousand","15778"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2020","Irish ownership","Euro Thousand","10514"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2020","Non Irish ownership","Euro Thousand","5264"
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2021","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2021","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2021","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2022","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2022","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2022","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2023","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2023","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2023","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2024","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2024","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software purchased wholly for Research and Development purposes","2024","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2007","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2007","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2007","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2008","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2008","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2008","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2009","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2009","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2009","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2010","All nationalities of ownership","Euro Thousand","1947"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2010","Irish ownership","Euro Thousand","1701"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2010","Non Irish ownership","Euro Thousand","246"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2011","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2011","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2011","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2012","All nationalities of ownership","Euro Thousand","6612"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2012","Irish ownership","Euro Thousand","1821"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2012","Non Irish ownership","Euro Thousand","4791"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2013","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2013","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2013","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2014","All nationalities of ownership","Euro Thousand","22902"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2014","Irish ownership","Euro Thousand","19991"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2014","Non Irish ownership","Euro Thousand","2911"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2015","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2015","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2015","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2016","All nationalities of ownership","Euro Thousand","25904"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2016","Irish ownership","Euro Thousand","21195"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2016","Non Irish ownership","Euro Thousand","4709"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2017","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2017","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2017","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2018","All nationalities of ownership","Euro Thousand","36557"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2018","Irish ownership","Euro Thousand","33914"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2018","Non Irish ownership","Euro Thousand","2642"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2019","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2019","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2019","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2020","All nationalities of ownership","Euro Thousand","226619"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2020","Irish ownership","Euro Thousand","188784"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2020","Non Irish ownership","Euro Thousand","37835"
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2021","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2021","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2021","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2022","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2022","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2022","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2023","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2023","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2023","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2024","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2024","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Software development by company in-house and used in-house","2024","Non Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2007","All nationalities of ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2007","Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2007","Non Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2008","All nationalities of ownership","Euro Thousand","271072"
"Estimated Total Capital Expenditure","2008","Irish ownership","Euro Thousand","52375"
"Estimated Total Capital Expenditure","2008","Non Irish ownership","Euro Thousand","218698"
"Estimated Total Capital Expenditure","2009","All nationalities of ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2009","Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2009","Non Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2010","All nationalities of ownership","Euro Thousand","301427"
"Estimated Total Capital Expenditure","2010","Irish ownership","Euro Thousand","93311"
"Estimated Total Capital Expenditure","2010","Non Irish ownership","Euro Thousand","208115"
"Estimated Total Capital Expenditure","2011","All nationalities of ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2011","Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2011","Non Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2012","All nationalities of ownership","Euro Thousand","126964"
"Estimated Total Capital Expenditure","2012","Irish ownership","Euro Thousand","33809"
"Estimated Total Capital Expenditure","2012","Non Irish ownership","Euro Thousand","93155"
"Estimated Total Capital Expenditure","2013","All nationalities of ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2013","Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2013","Non Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2014","All nationalities of ownership","Euro Thousand","163922"
"Estimated Total Capital Expenditure","2014","Irish ownership","Euro Thousand","57678"
"Estimated Total Capital Expenditure","2014","Non Irish ownership","Euro Thousand","106244"
"Estimated Total Capital Expenditure","2015","All nationalities of ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2015","Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2015","Non Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2016","All nationalities of ownership","Euro Thousand","202214"
"Estimated Total Capital Expenditure","2016","Irish ownership","Euro Thousand","84224"
"Estimated Total Capital Expenditure","2016","Non Irish ownership","Euro Thousand","117990"
"Estimated Total Capital Expenditure","2017","All nationalities of ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2017","Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2017","Non Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2018","All nationalities of ownership","Euro Thousand","236182"
"Estimated Total Capital Expenditure","2018","Irish ownership","Euro Thousand","99561"
"Estimated Total Capital Expenditure","2018","Non Irish ownership","Euro Thousand","136621"
"Estimated Total Capital Expenditure","2019","All nationalities of ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2019","Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2019","Non Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2020","All nationalities of ownership","Euro Thousand","854451"
"Estimated Total Capital Expenditure","2020","Irish ownership","Euro Thousand","240355"
"Estimated Total Capital Expenditure","2020","Non Irish ownership","Euro Thousand","614096"
"Estimated Total Capital Expenditure","2021","All nationalities of ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2021","Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2021","Non Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2022","All nationalities of ownership","Euro Thousand","2408772"
"Estimated Total Capital Expenditure","2022","Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2022","Non Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2023","All nationalities of ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2023","Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2023","Non Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2024","All nationalities of ownership","Euro Thousand","1885354"
"Estimated Total Capital Expenditure","2024","Irish ownership","Euro Thousand",""
"Estimated Total Capital Expenditure","2024","Non Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2007","All nationalities of ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2007","Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2007","Non Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2008","All nationalities of ownership","Euro Thousand","1686732"
"Estimated Total Research and Development Expenditure","2008","Irish ownership","Euro Thousand","521449"
"Estimated Total Research and Development Expenditure","2008","Non Irish ownership","Euro Thousand","1165283"
"Estimated Total Research and Development Expenditure","2009","All nationalities of ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2009","Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2009","Non Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2010","All nationalities of ownership","Euro Thousand","1833608"
"Estimated Total Research and Development Expenditure","2010","Irish ownership","Euro Thousand","583452"
"Estimated Total Research and Development Expenditure","2010","Non Irish ownership","Euro Thousand","1250155"
"Estimated Total Research and Development Expenditure","2011","All nationalities of ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2011","Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2011","Non Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2012","All nationalities of ownership","Euro Thousand","1859369"
"Estimated Total Research and Development Expenditure","2012","Irish ownership","Euro Thousand","577747"
"Estimated Total Research and Development Expenditure","2012","Non Irish ownership","Euro Thousand","1281622"
"Estimated Total Research and Development Expenditure","2013","All nationalities of ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2013","Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2013","Non Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2014","All nationalities of ownership","Euro Thousand","2091151"
"Estimated Total Research and Development Expenditure","2014","Irish ownership","Euro Thousand","754857"
"Estimated Total Research and Development Expenditure","2014","Non Irish ownership","Euro Thousand","1336295"
"Estimated Total Research and Development Expenditure","2015","All nationalities of ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2015","Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2015","Non Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2016","All nationalities of ownership","Euro Thousand","2292825"
"Estimated Total Research and Development Expenditure","2016","Irish ownership","Euro Thousand","926004"
"Estimated Total Research and Development Expenditure","2016","Non Irish ownership","Euro Thousand","1366821"
"Estimated Total Research and Development Expenditure","2017","All nationalities of ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2017","Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2017","Non Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2018","All nationalities of ownership","Euro Thousand","2777748"
"Estimated Total Research and Development Expenditure","2018","Irish ownership","Euro Thousand","967088"
"Estimated Total Research and Development Expenditure","2018","Non Irish ownership","Euro Thousand","1810659"
"Estimated Total Research and Development Expenditure","2019","All nationalities of ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2019","Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2019","Non Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2020","All nationalities of ownership","Euro Thousand","3391165"
"Estimated Total Research and Development Expenditure","2020","Irish ownership","Euro Thousand","977845"
"Estimated Total Research and Development Expenditure","2020","Non Irish ownership","Euro Thousand","2413320"
"Estimated Total Research and Development Expenditure","2021","All nationalities of ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2021","Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2021","Non Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2022","All nationalities of ownership","Euro Thousand","6994975"
"Estimated Total Research and Development Expenditure","2022","Irish ownership","Euro Thousand","1143697"
"Estimated Total Research and Development Expenditure","2022","Non Irish ownership","Euro Thousand","5851278"
"Estimated Total Research and Development Expenditure","2023","All nationalities of ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2023","Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2023","Non Irish ownership","Euro Thousand",""
"Estimated Total Research and Development Expenditure","2024","All nationalities of ownership","Euro Thousand","6589565"
"Estimated Total Research and Development Expenditure","2024","Irish ownership","Euro Thousand","1012941"
"Estimated Total Research and Development Expenditure","2024","Non Irish ownership","Euro Thousand","5576624"
"Actual Current Expenditure - Labour Costs","2007","All nationalities of ownership","Euro Thousand","843847"
"Actual Current Expenditure - Labour Costs","2007","Irish ownership","Euro Thousand","280135"
"Actual Current Expenditure - Labour Costs","2007","Non Irish ownership","Euro Thousand","563712"
"Actual Current Expenditure - Labour Costs","2008","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2008","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2008","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2009","All nationalities of ownership","Euro Thousand","947497"
"Actual Current Expenditure - Labour Costs","2009","Irish ownership","Euro Thousand","307620"
"Actual Current Expenditure - Labour Costs","2009","Non Irish ownership","Euro Thousand","639877"
"Actual Current Expenditure - Labour Costs","2010","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2010","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2010","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2011","All nationalities of ownership","Euro Thousand","1006308"
"Actual Current Expenditure - Labour Costs","2011","Irish ownership","Euro Thousand","338246"
"Actual Current Expenditure - Labour Costs","2011","Non Irish ownership","Euro Thousand","668062"
"Actual Current Expenditure - Labour Costs","2012","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2012","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2012","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2013","All nationalities of ownership","Euro Thousand","1238903"
"Actual Current Expenditure - Labour Costs","2013","Irish ownership","Euro Thousand","451967"
"Actual Current Expenditure - Labour Costs","2013","Non Irish ownership","Euro Thousand","786936"
"Actual Current Expenditure - Labour Costs","2014","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2014","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2014","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2015","All nationalities of ownership","Euro Thousand","1349977"
"Actual Current Expenditure - Labour Costs","2015","Irish ownership","Euro Thousand","523227"
"Actual Current Expenditure - Labour Costs","2015","Non Irish ownership","Euro Thousand","826751"
"Actual Current Expenditure - Labour Costs","2016","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2016","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2016","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2017","All nationalities of ownership","Euro Thousand","1651343"
"Actual Current Expenditure - Labour Costs","2017","Irish ownership","Euro Thousand","549943"
"Actual Current Expenditure - Labour Costs","2017","Non Irish ownership","Euro Thousand","1101400"
"Actual Current Expenditure - Labour Costs","2018","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2018","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2018","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2019","All nationalities of ownership","Euro Thousand","1690211"
"Actual Current Expenditure - Labour Costs","2019","Irish ownership","Euro Thousand","468571"
"Actual Current Expenditure - Labour Costs","2019","Non Irish ownership","Euro Thousand","1221640"
"Actual Current Expenditure - Labour Costs","2020","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2020","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2020","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2021","All nationalities of ownership","Euro Thousand","2045309"
"Actual Current Expenditure - Labour Costs","2021","Irish ownership","Euro Thousand","582517"
"Actual Current Expenditure - Labour Costs","2021","Non Irish ownership","Euro Thousand","1462792"
"Actual Current Expenditure - Labour Costs","2022","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2022","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2022","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2023","All nationalities of ownership","Euro Thousand","2616850"
"Actual Current Expenditure - Labour Costs","2023","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2023","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2024","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2024","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Labour Costs","2024","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2007","All nationalities of ownership","Euro Thousand","480067"
"Actual Current Expenditure - Other Current Costs","2007","Irish ownership","Euro Thousand","130492"
"Actual Current Expenditure - Other Current Costs","2007","Non Irish ownership","Euro Thousand","349576"
"Actual Current Expenditure - Other Current Costs","2008","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2008","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2008","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2009","All nationalities of ownership","Euro Thousand","595346"
"Actual Current Expenditure - Other Current Costs","2009","Irish ownership","Euro Thousand","164557"
"Actual Current Expenditure - Other Current Costs","2009","Non Irish ownership","Euro Thousand","430789"
"Actual Current Expenditure - Other Current Costs","2010","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2010","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2010","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2011","All nationalities of ownership","Euro Thousand","600603"
"Actual Current Expenditure - Other Current Costs","2011","Irish ownership","Euro Thousand","157855"
"Actual Current Expenditure - Other Current Costs","2011","Non Irish ownership","Euro Thousand","442748"
"Actual Current Expenditure - Other Current Costs","2012","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2012","Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2012","Non Irish ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2013","All nationalities of ownership","Euro Thousand","635761"
"Actual Current Expenditure - Other Current Costs","2013","Irish ownership","Euro Thousand","193098"
"Actual Current Expenditure - Other Current Costs","2013","Non Irish ownership","Euro Thousand","442663"
"Actual Current Expenditure - Other Current Costs","2014","All nationalities of ownership","Euro Thousand",""
"Actual Current Expenditure - Other Current Costs","2014","Irish ownership","Euro Thousand",""
