"STATISTIC","Statistic Label","TLIST(A1)","Year","C03315V03999","Provider","C03313V03997","Type of Financing Scheme","UNIT","VALUE"
"SHA14","Current Health Care Expenditure (Euro Million)","2013","2013","27","Providers N.E.C. (HP.0)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","0"
"SHA14","Current Health Care Expenditure (Euro Million)","2013","2013","27","Providers N.E.C. (HP.0)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","-","All Current Health Care Expenditure (HP.1 to HP.0)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","18559.31662"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","-","All Current Health Care Expenditure (HP.1 to HP.0)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","13214.33704"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","-","All Current Health Care Expenditure (HP.1 to HP.0)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","13161.70704"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","-","All Current Health Care Expenditure (HP.1 to HP.0)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million","52.63"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","-","All Current Health Care Expenditure (HP.1 to HP.0)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","2734.184007"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","-","All Current Health Care Expenditure (HP.1 to HP.0)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","2351.43"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","-","All Current Health Care Expenditure (HP.1 to HP.0)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","382.7540071"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","-","All Current Health Care Expenditure (HP.1 to HP.0)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","2610.795568"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","01","Hospitals (HP.1)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","6663.33"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","01","Hospitals (HP.1)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","4666.98"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","01","Hospitals (HP.1)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","4666.98"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","01","Hospitals (HP.1)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","01","Hospitals (HP.1)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","1870.52"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","01","Hospitals (HP.1)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","1779.49"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","01","Hospitals (HP.1)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","91.03"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","01","Hospitals (HP.1)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","125.83"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","05","Long-Term Residential Facilities (HP.2)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","3447.90405"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","05","Long-Term Residential Facilities (HP.2)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","2621.962516"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","05","Long-Term Residential Facilities (HP.2)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","2621.962516"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","05","Long-Term Residential Facilities (HP.2)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","05","Long-Term Residential Facilities (HP.2)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","93.88508117"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","05","Long-Term Residential Facilities (HP.2)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","20.54"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","05","Long-Term Residential Facilities (HP.2)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","73.34508117"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","05","Long-Term Residential Facilities (HP.2)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","732.0564522"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","06","Ambulatory Health Care Provider (HP.3)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","3693.724217"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","06","Ambulatory Health Care Provider (HP.3)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","2522.494527"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","06","Ambulatory Health Care Provider (HP.3)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","2506.454527"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","06","Ambulatory Health Care Provider (HP.3)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million","16.04"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","06","Ambulatory Health Care Provider (HP.3)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","184.9066155"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","06","Ambulatory Health Care Provider (HP.3)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","110.26"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","06","Ambulatory Health Care Provider (HP.3)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","74.64661549"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","06","Ambulatory Health Care Provider (HP.3)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","986.3230746"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","12","Ancillary Health Care Provider (HP.4)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","260.4535328"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","12","Ancillary Health Care Provider (HP.4)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","181.8"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","12","Ancillary Health Care Provider (HP.4)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","181.8"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","12","Ancillary Health Care Provider (HP.4)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","12","Ancillary Health Care Provider (HP.4)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","29.93"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","12","Ancillary Health Care Provider (HP.4)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","29.58"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","12","Ancillary Health Care Provider (HP.4)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","0.35"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","12","Ancillary Health Care Provider (HP.4)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","48.72353275"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","15","Retailer of Medical Goods (HP.5)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","2634.294489"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","15","Retailer of Medical Goods (HP.5)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","1922.36"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","15","Retailer of Medical Goods (HP.5)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","1909.67"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","15","Retailer of Medical Goods (HP.5)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million","12.69"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","15","Retailer of Medical Goods (HP.5)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","0"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","15","Retailer of Medical Goods (HP.5)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","15","Retailer of Medical Goods (HP.5)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","15","Retailer of Medical Goods (HP.5)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","711.9344889"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","18","Providers of Preventive Care (HP.6)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","228"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","18","Providers of Preventive Care (HP.6)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","202.8"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","18","Providers of Preventive Care (HP.6)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","202.8"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","18","Providers of Preventive Care (HP.6)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","18","Providers of Preventive Care (HP.6)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","25.2"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","18","Providers of Preventive Care (HP.6)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","0.02"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","18","Providers of Preventive Care (HP.6)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","25.18"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","18","Providers of Preventive Care (HP.6)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","0"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","19","Providers of Health Care Administration and Financing (HP.7)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","569.85"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","19","Providers of Health Care Administration and Financing (HP.7)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","160.93"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","19","Providers of Health Care Administration and Financing (HP.7)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","160.93"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","19","Providers of Health Care Administration and Financing (HP.7)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","19","Providers of Health Care Administration and Financing (HP.7)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","408.92"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","19","Providers of Health Care Administration and Financing (HP.7)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","393.12"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","19","Providers of Health Care Administration and Financing (HP.7)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","15.8"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","19","Providers of Health Care Administration and Financing (HP.7)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","23","Rest of the Economy (HP.8)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","885.2503296"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","23","Rest of the Economy (HP.8)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","776.94"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","23","Rest of the Economy (HP.8)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","753.04"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","23","Rest of the Economy (HP.8)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million","23.9"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","23","Rest of the Economy (HP.8)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","102.3823105"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","23","Rest of the Economy (HP.8)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","0.02"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","23","Rest of the Economy (HP.8)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","102.3623105"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","23","Rest of the Economy (HP.8)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","5.928019132"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","26","Rest of the World (HP.9)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","27.61"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","26","Rest of the World (HP.9)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","12.17"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","26","Rest of the World (HP.9)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","12.17"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","26","Rest of the World (HP.9)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","26","Rest of the World (HP.9)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","15.44"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","26","Rest of the World (HP.9)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","15.4"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","26","Rest of the World (HP.9)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","0.04"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","26","Rest of the World (HP.9)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","0"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","27","Providers N.E.C. (HP.0)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","148.9"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","27","Providers N.E.C. (HP.0)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","145.9"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","27","Providers N.E.C. (HP.0)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","145.9"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","27","Providers N.E.C. (HP.0)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","27","Providers N.E.C. (HP.0)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","3"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","27","Providers N.E.C. (HP.0)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","3"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","27","Providers N.E.C. (HP.0)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","0"
"SHA14","Current Health Care Expenditure (Euro Million)","2014","2014","27","Providers N.E.C. (HP.0)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","-","All Current Health Care Expenditure (HP.1 to HP.0)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","19291.84738"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","-","All Current Health Care Expenditure (HP.1 to HP.0)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","13850.24202"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","-","All Current Health Care Expenditure (HP.1 to HP.0)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","13790.12202"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","-","All Current Health Care Expenditure (HP.1 to HP.0)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million","60.12"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","-","All Current Health Care Expenditure (HP.1 to HP.0)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","2843.500052"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","-","All Current Health Care Expenditure (HP.1 to HP.0)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","2464.74"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","-","All Current Health Care Expenditure (HP.1 to HP.0)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","378.7600516"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","-","All Current Health Care Expenditure (HP.1 to HP.0)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","2598.105305"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","01","Hospitals (HP.1)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","6976.19"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","01","Hospitals (HP.1)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","4876.87"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","01","Hospitals (HP.1)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","4876.87"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","01","Hospitals (HP.1)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","01","Hospitals (HP.1)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","1959.71"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","01","Hospitals (HP.1)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","1867"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","01","Hospitals (HP.1)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","92.71"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","01","Hospitals (HP.1)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","139.61"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","05","Long-Term Residential Facilities (HP.2)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","3614.332242"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","05","Long-Term Residential Facilities (HP.2)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","2763.90589"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","05","Long-Term Residential Facilities (HP.2)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","2763.90589"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","05","Long-Term Residential Facilities (HP.2)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","05","Long-Term Residential Facilities (HP.2)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","87.79040582"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","05","Long-Term Residential Facilities (HP.2)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","22.08"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","05","Long-Term Residential Facilities (HP.2)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","65.71040582"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","05","Long-Term Residential Facilities (HP.2)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","762.6359468"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","06","Ambulatory Health Care Provider (HP.3)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","3839.005317"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","06","Ambulatory Health Care Provider (HP.3)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","2720.176129"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","06","Ambulatory Health Care Provider (HP.3)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","2703.556129"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","06","Ambulatory Health Care Provider (HP.3)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million","16.62"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","06","Ambulatory Health Care Provider (HP.3)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","189.2717018"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","06","Ambulatory Health Care Provider (HP.3)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","113.93"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","06","Ambulatory Health Care Provider (HP.3)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","75.34170176"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","06","Ambulatory Health Care Provider (HP.3)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","929.5574867"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","12","Ancillary Health Care Provider (HP.4)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","269.5148854"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","12","Ancillary Health Care Provider (HP.4)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","189.23"
"SHA14","Current Health Care Expenditure (Euro Million)","2015","2015","12","Ancillary Health Care Provider (HP.4)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","189.23"
